"","rollno","name","Gender","age","course","marks","married"
"16","S-16","student16-xyz","Male",38,"Phd",83,"FALSE"
"14","S-14","student14-xyz","Male",32,"Btech",71,"TRUE"
"18","S-18","student18-xyz","Male",25,"Phd",84,"FALSE"
"7","S-7","student7-xyz","Male",30,"Btech",30,"FALSE"
"21","S-21","student21-xyz","Male",20,"Mtech",37,"TRUE"
"5","S-5","student5-xyz","Female",39,"Phd",42,"FALSE"
"20","S-20","student20-xyz","Male",26,"Btech",89,"TRUE"
"13","S-13","student13-xyz","Male",20,"Btech",58,"TRUE"
"4","S-4","student4-xyz","Male",34,"Btech",29,"FALSE"
"1","S-1","student1-xyz","Male",27,"Btech",60,"FALSE"
"15","S-15","student15-xyz","Male",26,"Btech",43,"FALSE"
"6","S-6","student6-xyz","Female",25,"Phd",58,"FALSE"
"2","S-2","student2-xyz","Male",29,"Btech",98,"TRUE"
"8","S-8","student8-xyz","Female",36,"Phd",98,"FALSE"
"26","S-26","student26-xyz","Female",20,"Btech",92,"FALSE"
